frame_count,t_in_us,t_due_us,t_pub_us,published
32,36922326994,36922376994,36922377994,1
33,36922343597,36922393597,36922393844,1
34,36922359729,36922409729,36922409954,1
35,36922376579,36922426579,36922426706,1
36,36922393502,36922443502,36922443646,1
37,36922410207,36922460207,36922460326,1
38,36922426506,36922476506,36922476616,1
39,36922443211,36922493211,36922493338,1
40,36922459905,36922509905,36922510235,1
41,36922476869,36922526869,36922527002,1
42,36922493190,36922543190,36922543309,1
43,36922510504,36922560504,36922560675,1
44,36922526555,36922576555,36922576684,1
45,36922543562,36922593562,36922593674,1
46,36922559858,36922609858,36922609955,1
47,36922576938,36922626938,36922627263,1
48,36922593254,36922643254,36922643385,1
49,36922609685,36922659685,36922659811,1
50,36922627518,36922677518,36922677688,1
51,36922643090,36922693090,36922693449,1
52,36922660065,36922710065,36922710176,1
53,36922676402,36922726402,36922726512,1
54,36922693705,36922743705,36922743912,1
55,36922709783,36922759783,36922760163,1
56,36922726765,36922776765,36922776938,1
57,36922743122,36922793122,36922793233,1
58,36922760417,36922810417,36922810684,1
59,36922776547,36922826547,36922826697,1
60,36922793515,36922843515,36922843819,1
61,36922809920,36922859920,36922860270,1
62,36922826440,36922876440,36922876784,1
63,36922843039,36922893039,36922893229,1
64,36922860526,36922910526,36922910714,1
65,36922877076,36922927076,36922927349,1
66,36922893485,36922943485,36922943636,1
67,36922909795,36922959795,36922959907,1
68,36922926471,36922976471,36922976672,1
69,36922943108,36922993108,36922993440,1
70,36922960161,36923010161,36923010303,1
71,36922976927,36923026927,36923027070,1
72,36922993696,36923043696,36923043872,1
73,36923009996,36923059996,36923060114,1
74,36923026561,36923076561,36923076718,1
75,36923043326,36923093326,36923093475,1
76,36923059882,36923109882,36923110317,1
77,36923076973,36923126973,36923127203,1
78,36923093277,36923143277,36923143380,1
79,36923110575,36923160575,36923160762,1
80,36923126645,36923176645,36923176745,1
81,36923143213,36923193213,36923193328,1
82,36923159886,36923209886,36923209996,1
83,36923176517,36923226517,36923226853,1
84,36923193581,36923243581,36923243732,1
85,36923209712,36923259712,36923259876,1
86,36923227108,36923277108,36923277243,1
87,36923243164,36923293164,36923293494,1
88,36923260129,36923310129,36923310261,1
89,36923276678,36923326678,36923326801,1
90,36923293749,36923343749,36923343904,1
91,36923309877,36923359877,36923360068,1
92,36923326518,36923376518,36923377016,1
93,36923343336,36923393336,36923393598,1
94,36923360325,36923410325,36923410451,1
95,36923376674,36923426674,36923426851,1
96,36923393334,36923443334,36923443609,1
97,36923410129,36923460129,36923460479,1
98,36923427108,36923477108,36923477345,1
99,36923443885,36923493885,36923494069,1
100,36923460737,36923510737,36923510916,1
101,36923476624,36923526624,36923526992,1
102,36923493103,36923543103,36923543361,1
103,36923509824,36923559824,36923560056,1
104,36923526421,36923576421,36923576724,1
105,36923543616,36923593616,36923593762,1
106,36923560311,36923610311,36923610651,1
107,36923576979,36923626979,36923627273,1
108,36923593420,36923643420,36923643854,1
109,36923609774,36923659774,36923660303,1
110,36923626443,36923676443,36923676924,1
111,36923644115,36923694115,36923694267,1
112,36923660564,36923710564,36923710726,1
113,36923677182,36923727182,36923727363,1
114,36923693524,36923743524,36923743787,1
115,36923710288,36923760288,36923760669,1
116,36923726855,36923776855,36923777014,1
117,36923743382,36923793382,36923793615,1
118,36923760314,36923810314,36923810615,1
119,36923776449,36923826449,36923826943,1
120,36923793276,36923843276,36923843613,1
121,36923810239,36923860239,36923860606,1
122,36923827201,36923877201,36923877396,1
123,36923843869,36923893869,36923894159,1
124,36923859692,36923909692,36923909877,1
125,36923876376,36923926376,36923926515,1
126,36923893155,36923943155,36923943500,1
127,36923910132,36923960132,36923960363,1
128,36923926795,36923976795,36923976940,1
129,36923943759,36923993759,36923994034,1
130,36923959854,36924009854,36924009979,1
131,36923976619,36924026619,36924026723,1
132,36923993197,36924043197,36924043316,1
133,36924009795,36924059795,36924061030,1
134,36924026486,36924076486,36924076612,1
135,36924043570,36924093570,36924093934,1
136,36924061537,36924111537,36924111734,1
137,36924076358,36924126358,36924126460,1
138,36924093120,36924143120,36924143257,1
139,36924109693,36924159693,36924159850,1
140,36924126713,36924176713,36924176828,1
141,36924143511,36924193511,36924193806,1
142,36924160104,36924210104,36924210258,1
143,36924176439,36924226439,36924226560,1
144,36924193087,36924243087,36924243204,1
145,36924209811,36924259811,36924259940,1
146,36924226813,36924276813,36924276938,1
147,36924243458,36924293458,36924293660,1
148,36924259757,36924309757,36924310183,1
149,36924276456,36924326456,36924326563,1
150,36924293196,36924343196,36924343323,1
151,36924310437,36924360437,36924360545,1
152,36924326816,36924376816,36924376916,1
153,36924343113,36924393113,36924393216,1
154,36924360081,36924410081,36924410185,1
155,36924376557,36924426557,36924426931,1
156,36924393468,36924443468,36924443595,1
157,36924409828,36924459828,36924459953,1
158,36924427187,36924477187,36924477436,1
159,36924443239,36924493239,36924493370,1
160,36924460208,36924510208,36924510340,1
161,36924476571,36924526571,36924526689,1
162,36924493193,36924543193,36924543583,1
163,36924509874,36924559874,36924560009,1
164,36924526373,36924576373,36924576510,1
165,36924543837,36924593837,36924594019,1
166,36924560262,36924610262,36924610477,1
167,36924576764,36924626764,36924626941,1
168,36924593097,36924643097,36924643230,1
169,36924609773,36924659773,36924660268,1
170,36924626733,36924676733,36924676903,1
171,36924643484,36924693484,36924693744,1
172,36924660524,36924710524,36924710726,1
173,36924676588,36924726588,36924726682,1
174,36924693417,36924743417,36924743576,1
175,36924709751,36924759751,36924759857,1
176,36924726481,36924776481,36924776671,1
177,36924743185,36924793185,36924793548,1
178,36924760110,36924810110,36924810213,1
179,36924776470,36924826470,36924826618,1
180,36924793803,36924843803,36924844000,1
181,36924809856,36924859856,36924859960,1
182,36924826468,36924876468,36924876742,1
183,36924843121,36924893121,36924893251,1
184,36924859754,36924909754,36924909874,1
185,36924876996,36924926996,36924927217,1
186,36924893506,36924943506,36924943610,1
187,36924910129,36924960129,36924960333,1
188,36924926435,36924976435,36924976559,1
189,36924943223,36924993223,36924993332,1
190,36924959868,36925009868,36925010022,1
191,36924976812,36925026812,36925027134,1
192,36924993104,36925043104,36925043220,1
193,36925009843,36925059843,36925059943,1
194,36925026796,36925076796,36925076931,1
195,36925043472,36925093472,36925093794,1
196,36925059766,36925109766,36925109881,1
197,36925076447,36925126447,36925126639,1
198,36925093184,36925143184,36925143672,1
199,36925110164,36925160164,36925160360,1
200,36925126894,36925176894,36925177239,1
201,36925143930,36925193930,36925194056,1
